Date,Time,AQI,PM10,PM2.5,NO2,SO2,CO,O3
2025-01-31,01:24:27,1,11,9,16,1,350,16
2025-01-31,02:00:00,1,10,8,12,1,334,17
2025-01-31,03:00:00,1,8,7,9,0,310,19
2025-01-31,04:00:00,1,7,6,6,0,294,20
2025-01-31,05:00:00,1,7,6,5,1,287,21
2025-01-31,06:00:00,1,7,6,6,1,287,21
2025-01-31,07:00:00,1,8,6,5,1,287,25
2025-01-31,08:00:00,1,8,6,6,1,290,26
2025-01-31,09:00:00,1,8,7,7,1,297,28
2025-01-31,10:00:00,1,8,6,7,1,297,33
2025-01-31,11:00:00,1,8,6,6,1,294,38
2025-01-31,12:00:00,1,7,5,5,1,287,41
2025-01-31,13:00:00,1,6,5,4,2,277,52
2025-01-31,14:00:00,2,6,5,3,2,267,70
2025-01-31,15:00:00,2,6,5,3,2,267,70
2025-01-31,16:00:00,2,6,5,3,2,267,67
2025-01-31,17:00:00,2,6,5,4,2,274,64
2025-01-31,18:00:00,2,6,5,5,1,277,62
2025-01-31,19:00:00,1,6,5,5,1,280,57
2025-01-31,20:00:00,1,6,5,5,1,280,52
2025-01-31,21:00:00,1,6,5,5,1,277,50
2025-01-31,22:00:00,1,7,6,4,2,270,51
2025-01-31,23:00:00,1,9,6,3,1,264,52
2025-02-01,00:00:00,1,8,6,3,1,260,55
2025-02-01,01:00:00,2,7,6,2,1,257,60
2025-02-01,02:00:00,2,5,5,2,1,257,63
2025-02-01,03:00:00,2,5,4,2,1,257,64
2025-02-01,04:00:00,2,5,4,2,1,257,64
2025-02-01,05:00:00,2,5,4,2,1,260,63
2025-02-01,06:00:00,2,5,4,3,1,264,60
2025-02-01,07:00:00,1,5,4,4,1,270,57
2025-02-01,08:00:00,1,6,4,5,2,277,54
2025-02-01,09:00:00,1,6,4,7,3,280,53
2025-02-01,10:00:00,1,7,5,9,5,280,52
2025-02-01,11:00:00,1,8,5,10,5,277,50
2025-02-01,12:00:00,1,9,5,10,6,274,51
2025-02-01,13:00:00,1,10,6,13,9,274,49
2025-02-01,14:00:00,1,5,3,14,10,274,59
2025-02-01,15:00:00,1,5,3,15,12,274,59
2025-02-01,16:00:00,1,5,3,16,9,287,54
2025-02-01,17:00:00,1,6,4,21,6,320,45
2025-02-01,18:00:00,1,8,5,27,6,364,36
2025-02-01,19:00:00,1,10,7,30,6,394,31
2025-02-01,20:00:00,1,12,8,30,6,404,28
2025-02-01,21:00:00,1,13,10,30,5,407,25
2025-02-01,22:00:00,2,15,11,30,4,404,22
2025-02-01,23:00:00,2,15,12,28,3,387,21
2025-02-02,00:00:00,2,15,13,22,2,347,23
2025-02-02,01:00:00,2,13,12,14,1,307,27
2025-02-02,02:00:00,2,13,12,15,2,320,26
2025-02-02,03:00:00,2,13,12,21,2,350,23
2025-02-02,04:00:00,1,8,8,13,2,297,40
2025-02-02,05:00:00,1,8,7,7,2,270,52
2025-02-02,06:00:00,1,10,9,6,3,274,52
2025-02-02,07:00:00,2,14,13,7,3,297,44
2025-02-02,08:00:00,2,15,14,8,3,320,35
2025-02-02,09:00:00,2,11,10,8,2,344,30
2025-02-02,10:00:00,1,7,7,5,2,337,34
2025-02-02,11:00:00,1,5,4,3,2,314,41
2025-02-02,12:00:00,1,3,3,3,2,297,49
2025-02-02,13:00:00,2,2,2,2,2,274,65
2025-02-02,14:00:00,2,3,3,2,3,280,64
2025-02-02,15:00:00,2,3,2,2,2,274,69
2025-02-02,16:00:00,2,3,2,2,2,277,66
2025-02-02,17:00:00,1,3,2,4,1,290,57
2025-02-02,18:00:00,1,3,2,4,1,300,48
2025-02-02,19:00:00,1,4,3,5,1,310,43
2025-02-02,20:00:00,1,4,3,5,1,317,39
2025-02-02,21:00:00,1,5,3,5,1,320,38
2025-02-02,22:00:00,1,6,4,6,2,327,37
2025-02-02,23:00:00,1,6,4,6,2,330,37
2025-02-03,00:00:01,1,6,5,7,2,334,35
2025-02-03,01:00:00,1,7,5,7,2,334,32
2025-02-03,02:00:00,1,7,5,8,2,337,27
2025-02-03,03:00:00,1,8,6,9,3,347,22
2025-02-03,04:00:00,1,9,7,11,3,360,19
2025-02-03,05:00:00,1,9,8,13,4,370,17
2025-02-03,06:00:00,1,11,9,16,5,384,15
2025-02-03,07:00:00,1,12,10,20,7,404,14
2025-02-03,08:00:00,2,12,10,21,7,417,13
2025-02-03,09:00:00,2,13,10,19,6,411,15
2025-02-03,10:00:00,2,13,10,17,6,397,19
2025-02-03,11:00:00,1,12,10,15,5,384,23
2025-02-03,12:00:00,1,11,9,11,4,360,28
2025-02-03,13:00:00,1,9,7,16,15,307,42
2025-02-03,14:00:00,1,7,6,21,16,307,39
2025-02-03,15:00:00,1,7,6,17,12,304,44
2025-02-03,16:00:00,1,8,7,11,7,304,49
2025-02-03,17:00:00,1,8,7,8,4,304,52
2025-02-03,18:00:00,1,7,6,7,4,304,52
2025-02-03,19:00:00,1,7,6,7,3,304,49
2025-02-03,20:00:00,1,7,6,7,3,304,49
2025-02-03,21:00:00,1,7,6,7,2,304,48
2025-02-03,22:00:00,1,7,6,7,3,304,49
2025-02-03,23:00:00,1,6,6,5,2,300,51
2025-02-04,00:00:00,1,5,5,5,2,290,54
2025-02-04,01:00:00,1,4,4,4,2,280,57
2025-02-04,02:00:00,2,3,3,3,2,270,60
2025-02-04,03:00:00,2,3,3,3,2,267,62
2025-02-04,04:00:00,2,3,3,2,1,267,63
2025-02-04,05:00:00,2,2,2,2,0,267,62
2025-02-04,06:00:00,2,2,2,1,0,267,62
2025-02-04,07:00:00,2,2,2,1,0,270,63
2025-02-04,08:00:00,2,2,2,1,0,270,65
2025-02-04,09:00:00,2,2,2,2,2,270,63
2025-02-04,10:00:00,1,3,2,3,4,277,57
2025-02-04,11:00:00,1,2,2,3,4,277,53
2025-02-04,12:00:00,1,2,2,2,3,274,55
2025-02-04,13:00:00,2,2,1,2,2,270,60
2025-02-04,14:00:00,2,3,3,3,2,267,76
2025-02-04,15:00:00,2,2,2,3,1,264,77
2025-02-04,16:00:00,2,2,1,3,1,264,78
2025-02-04,17:00:00,2,1,1,3,2,264,78
2025-02-04,18:00:00,2,2,1,4,2,274,76
2025-02-04,19:00:00,2,2,2,5,5,287,72
2025-02-04,20:00:00,2,4,4,9,12,307,63
2025-02-04,21:00:00,2,6,5,14,24,317,54
2025-02-04,22:00:00,2,7,7,17,34,314,48
2025-02-04,23:00:00,2,8,7,17,36,300,45
2025-02-05,00:00:00,2,8,7,15,31,290,45
2025-02-05,01:00:00,2,8,7,12,26,287,46
2025-02-05,02:00:00,2,7,6,11,20,287,46
2025-02-05,03:00:00,1,7,6,10,16,287,46
2025-02-05,04:00:00,1,7,6,10,14,290,46
2025-02-05,05:00:00,1,7,6,10,14,294,45
2025-02-05,06:00:00,1,7,6,10,13,300,44
2025-02-05,07:00:00,1,8,6,13,13,314,42
2025-02-05,08:00:00,1,8,7,15,11,327,39
2025-02-05,09:00:00,1,9,7,15,10,334,39
2025-02-05,10:00:00,1,9,7,13,10,350,42
2025-02-05,11:00:00,1,10,8,11,11,360,44
2025-02-05,12:00:00,1,11,9,10,11,367,46
2025-02-05,13:00:00,2,13,11,10,15,367,50
2025-02-05,14:00:00,2,19,16,15,16,421,51
2025-02-05,15:00:00,2,24,22,23,19,474,49
2025-02-05,16:00:00,3,29,26,37,22,521,40
2025-02-05,17:00:00,3,32,29,51,21,534,27
2025-02-05,18:00:00,3,31,28,53,20,507,23
2025-02-05,19:00:00,3,29,27,45,20,467,29
2025-02-05,20:00:00,3,28,26,38,20,447,32
2025-02-05,21:00:00,2,26,25,35,23,434,32
2025-02-05,22:00:00,2,26,24,35,28,434,30
2025-02-05,23:00:00,2,25,23,35,31,427,28
2025-02-06,00:00:00,2,23,22,31,29,397,30
2025-02-06,01:00:00,2,20,19,22,23,350,39
2025-02-06,02:00:00,2,18,17,14,16,317,49
2025-02-06,03:00:00,2,14,13,8,9,300,59
2025-02-06,04:00:00,2,10,10,4,5,294,64
2025-02-06,05:00:00,2,10,9,4,3,294,65
2025-02-06,06:00:00,2,11,11,4,5,304,62
2025-02-06,07:00:00,2,14,13,7,8,310,58
2025-02-06,08:00:00,2,14,14,8,7,314,54
2025-02-06,09:00:00,2,12,11,8,5,310,54
2025-02-06,10:00:00,1,10,9,6,3,300,59
2025-02-06,11:00:00,2,9,8,4,2,290,64
2025-02-06,12:00:00,2,9,6,3,2,284,67
2025-02-06,13:00:00,2,9,6,2,1,280,70
2025-02-06,14:00:00,2,10,6,3,2,277,72
2025-02-06,15:00:00,2,12,7,3,2,277,74
2025-02-06,16:00:00,2,12,7,3,2,277,74
2025-02-06,17:00:00,2,11,6,4,2,280,72
2025-02-06,18:00:00,2,10,6,4,2,280,72
2025-02-06,19:00:00,2,9,5,3,2,280,72
2025-02-06,20:00:01,2,7,5,3,2,280,74
2025-02-06,21:00:00,2,6,5,2,2,280,78
2025-02-06,22:00:00,2,6,5,2,2,277,81
2025-02-06,23:00:00,2,6,5,2,2,277,82
2025-02-07,00:00:00,2,7,5,2,2,280,81
2025-02-07,01:00:00,2,8,5,2,2,284,80
2025-02-07,02:00:00,2,10,6,2,2,284,79
2025-02-07,03:00:00,2,13,6,2,2,284,80
2025-02-07,04:00:00,2,16,7,2,2,284,81
2025-02-07,05:00:00,2,21,8,2,2,284,82
2025-02-07,06:00:00,2,28,10,2,2,284,82
2025-02-07,07:00:00,2,36,11,3,3,284,82
2025-02-07,08:00:00,2,40,12,3,2,287,84
2025-02-07,09:00:00,2,38,12,3,2,287,84
2025-02-07,10:00:00,2,33,11,3,2,287,84
2025-02-07,11:00:00,2,27,10,2,3,287,86
2025-02-07,12:00:00,2,24,10,2,3,284,87
2025-02-07,13:00:00,2,22,11,2,3,284,89
2025-02-07,14:00:00,2,13,8,3,4,284,85
2025-02-07,15:00:00,2,10,7,3,4,284,82
2025-02-07,16:00:00,2,8,6,4,4,284,77
2025-02-07,17:00:00,2,6,4,5,4,284,74
2025-02-07,18:00:00,2,4,3,5,5,284,71
2025-02-07,19:00:00,2,4,3,5,5,280,70
2025-02-07,20:00:00,2,3,3,4,4,277,69
2025-02-07,21:00:00,2,3,3,4,4,277,68
2025-02-07,22:00:00,2,4,3,4,5,277,65
2025-02-07,23:00:00,2,4,4,4,5,277,63
2025-02-08,00:00:00,2,4,4,4,6,277,64
2025-02-08,01:00:00,2,4,4,4,6,277,66
2025-02-08,02:00:00,2,4,4,3,5,277,68
2025-02-08,03:00:00,2,4,3,3,4,277,71
